RANK,NAME,LANGUAGE,TYPE,MOST_STREAMED_GAME,2ND_MOST_STREAMED_GAME,AVERAGE_STREAM_DURATION,FOLLOWERS_GAINED_PER_STREAM,AVG_VIEWERS_PER_STREAM,AVG_GAMES_PER_STREAM,TOTAL_TIME_STREAMED,TOTAL_FOLLOWERS,TOTAL_VIEWS,TOTAL_GAMES_STREAMED,ACTIVE_DAYS_PER_WEEK,MOST_ACTIVE_DAY,DAY_WITH_MOST_FOLLOWERS_GAINED
444,diazbiffle,English,personality,Call of Duty: Warzone,Call of Duty: Modern Warfare III,5.3,7190,10401,1.1,5355,722000,10400000,26,3.3,Tuesday,Sunday
446,qojqva,English,personality,Dota 2,Counter-Strike,7.0,2230,5124,1.1,7462,264000,6350000,9,3.2,Thursday,Sunday
454,sardoche,French,personality,League of Legends,Rocket League,8.3,6460,619,1.6,17782,1260000,120000000,177,5.4,Wednesday,Saturday
455,sinatraa,English,personality,VALORANT,Overwatch,5.5,1185,31271,1.4,9004,1880000,49700000,77,4.2,Tuesday,Sunday
463,saadhak,Portuguese,personality,VALORANT,Paladins,3.5,3970,1716,1.1,3833,402000,1740000,43,3.1,Wednesday,Saturday
464,nickmercs,English,personality,Fortnite,Apex Legends,7.0,3355,114372,1.3,14376,6720000,223000000,59,5.3,Wednesday,Wednesday
487,philza,English,personality,Minecraft,Rocket League,4.3,3789,45321,1.2,5649,4350000,52000000,66,3.7,Monday,Monday
489,tomato,English,personality,Minecraft,S.T.A.L.K.E.R.: Call of Pripyat,3.6,1120,6087,1.3,5872,162000,8039999,943,4.1,Tuesday,Monday
494,cs2_paragon_ru,Russian,personality,Counter-Strike,Counter-Strike 2 Limited Test,8.0,8820,0,1.0,1187,131000,0,2,2.6,Friday,Saturday
507,shotzzy,English,personality,Call of Duty: Warzone,Halo 5: Guardians,4.2,4050,2361,1.3,5187,473000,2760000,49,3.2,Saturday,Monday
523,fifakillvizualz,English,personality,Call of Duty: Warzone,Call of Duty: Black Ops 4,7.3,2110,2111,1.1,17821,568000,5390000,37,6.2,Wednesday,Sunday
526,rebirthztv,Thai,personality,Grand Theft Auto V,Rust,7.1,4530,25615,1.7,12741,827000,46400000,242,4.9,Saturday,Monday
528,metashi12,German,personality,World of Warcraft,Rust,6.0,1250,6816,1.2,1121,214000,12000000,103,4.6,Tuesday,Sunday
532,oatley,English,personality,Fortnite,Variety,5.7,3860,2032,1.0,7639,544000,2860000,3,4.7,Saturday,Sunday
538,cblol,Portuguese,esports,League of Legends,Teamfight Tactics,4.6,1033,125947,1.0,6151,1620000,233000000,5,3.4,Saturday,Saturday
540,jackeyy,Thai,personality,Grand Theft Auto V,Red Dead Redemption 2,4.3,5090,11742,1.0,3929,480000,11000000,16,5.4,Saturday,Monday
543,mago2dgod,Japanese,personality,VALORANT,Street Fighter 6,7.1,2090,0,1.1,3236,109000,5900,23,4.2,Friday,Sunday
544,lvpes,Spanish,esports,League of Legends,Teamfight Tactics,8.2,4860,103086,1.0,14787,1100000,241000000,10,4.6,Saturday,Saturday
546,deusamir,Spanish,personality,Call of Duty: Warzone,Call of Duty: Modern Warfare III,5.3,122,20,1.6,104,221000,364,13,0.7,Thursday,Thursday
547,jankos,English,personality,League of Legends,I'm Only Sleeping,4.8,8980,42965,1.0,6627,1310000,61700000,28,3.5,Tuesday,Sunday
549,squeex,English,personality,Super Mario 64,Counter-Strike,4.1,1360,1800,1.6,7009,200000,266000,245,5.3,Tuesday,Wednesday
554,teepee,English,personality,Call of Duty: Warzone,Call of Duty: Black Ops 4,8.0,4630,22913,1.2,15647,1030000,49400000,43,5.0,Tuesday,Friday
558,nervarien,Polish,personality,League of Legends,Teamfight Tactics,5.8,1690,25593,1.2,12059,621000,85400000,62,5.2,Thursday,Sunday
560,kubafps,German,personality,VALORANT,Z1: Battle Royale,6.5,2040,8570,1.2,8708,274000,1150000,36,3.8,Thursday,Tuesday
562,singsing,English,personality,Dota 2,Fortnite,8.0,1220,21392,1.4,20043,644000,101000000,528,6.4,Friday,Monday
564,tangotek,English,personality,Minecraft,Among Us,3.0,4200,3467,1.0,2006,307000,2430000,70,3.0,Monday,Sunday
573,light_starboy,Japanese,personality,Grand Theft Auto V,Rust,6.2,4590,0,1.0,1009,76600,0,3,3.4,Saturday,Saturday
585,smthlikeyou11,English,personality,VALORANT,PUBG: BATTLEGROUNDS,3.8,5610,1917,1.0,1993,337000,1150000,4,3.0,Wednesday,Sunday
586,nisqyy,French,personality,League of Legends,ELDEN RING,4.1,3480,7162,1.1,3407,326000,6660000,36,2.2,Monday,Sunday
588,lysium,English,personality,Grand Theft Auto V,Dauntless,7.0,1650,6495,1.3,12389,299000,11800000,114,5.6,Friday,Thursday
589,zekken,English,personality,VALORANT,Super Smash Bros. Melee,3.1,4960,3460,1.1,2158,396000,276000,39,3.2,Sunday,Tuesday
595,dhalucard,German,personality,Dead by Daylight,VALORANT,6.0,1760,15534,2.1,13583,546000,43400000,558,5.8,Tuesday,Tuesday
599,putupau,Spanish,personality,Genshin Impact,Rust,6.3,2690,49,1.9,11028,450000,8170000,123,4.4,Friday,Wednesday
606,goodtimeswithscar,English,personality,Minecraft,Phasmophobia,2.6,1401,4185,1.0,9330,525000,1640000,12,0.9,Saturday,Thursday
609,strippin,English,personality,League of Legends,For Honor,7.0,930,10996,1.7,16291,331000,26800000,506,5.9,Thursday,Tuesday
614,midbeast,English,personality,League of Legends,Teamfight Tactics,6.4,4040,20691,1.0,12887,841000,43000000,25,5.2,Tuesday,Monday
617,emilyywang,English,personality,Teamfight Tactics,Fortnite,6.0,1580,3159,1.6,9673,234000,4700000,110,4.5,Thursday,Monday
629,xarola_,Portuguese,personality,VALORANT,ELDEN RING,8.0,2970,3590,1.6,8152,296000,359000,217,3.2,Monday,Tuesday
630,traytonlol,French,personality,League of Legends,Rocket League,5.3,1510,4598,1.0,6063,201000,6130000,15,3.2,Monday,Monday
637,kxpture,English,personality,Call of Duty: Warzone,Call of Duty: Modern Warfare III,6.2,4020,9730,1.1,6473,428000,1040000,18,5.6,Sunday,Sunday
639,maxim,German,personality,Teamfight Tactics,League of Legends,4.8,2550,11892,1.9,8609,479000,22300000,468,5.1,Sunday,Sunday
640,malchugov,Russian,personality,Dota 2,Counter-Strike,4.0,1290,46619,1.3,1997,71600,26500000,15,1.8,Monday,Monday
644,dota2_maincast,Ukrainian,personality,Dota 2,Sports,13.1,1770,0,1.0,4845,99900,286,3,3.4,Sunday,Sunday
649,alderiate,French,personality,League of Legends,Path of Exile,4.9,3550,22342,1.2,569,447000,26900000,78,3.0,Sunday,Saturday
652,axtlol,Portuguese,personality,League of Legends,Teamfight Tactics,6.9,4750,31951,1.6,1316,897000,60800000,90,4.8,Saturday,Thursday
654,imls,English,esports,League of Legends,Teamfight Tactics,6.1,3630,22513,1.0,9609,659000,40100000,21,4.0,Sunday,Saturday
656,cs2_maincast,Ukrainian,personality,Counter-Strike,EA Sports FC 24,8.8,3720,4070,1.0,3944,186000,203000,3,4.0,Saturday,Sunday
657,vatira_,French,personality,Rocket League,VALORANT,1.8,7670,2380,1.2,2420,91400,28500,8,0.9,Tuesday,Friday
664,alphasniper97,Spanish,personality,Call of Duty: Warzone,Call of Duty: Modern Warfare II,2.5,5530,3862,1.1,2153,589000,3850000,71,5.2,Saturday,Sunday
672,impulsesv,English,personality,Minecraft,Phasmophobia,2.8,4460,2947,1.0,2387,362000,2360000,42,3.4,Friday,Sunday
682,rezreel,English,personality,ROBLOX,League of Legends,3.7,1367,4340,1.5,2969,1110000,351000,23,4.4,Friday,Wednesday
684,dep_ow,Japanese,personality,PUBG: BATTLEGROUNDS,VALORANT,4.4,3860,3487,1.1,1211,111000,1000000,14,0.9,Sunday,Sunday
689,cr_rion,Japanese,personality,VALORANT,PUBG: BATTLEGROUNDS,4.0,1790,3077,1.1,4214,232000,3980000,43,2.9,Wednesday,Sunday
692,ybicanoooobov,Russian,personality,Dota 2,Heroes Arena,5.8,2300,34737,1.0,14575,670000,87700000,2,6.4,Wednesday,Saturday
697,gtasty,German,personality,Grand Theft Auto V,Slots,5.3,1220,3001,1.6,6239,132000,3370000,54,4.6,Sunday,Sunday
708,ikoma_dogura,Japanese,personality,Street Fighter 6,VALORANT,7.4,1770,0,1.8,4019,115000,0,33,5.5,Tuesday,Sunday
721,rush,English,personality,League of Legends,Teamfight Tactics,5.5,5070,22081,1.0,3819,613000,25000000,8,1.8,Tuesday,Sunday
724,demon1,English,personality,VALORANT,Unreal Tournament,2.9,175,700,1.1,7600,390000,15600,14,0.8,Sunday,Monday
730,bobbypoffgaming,English,personality,Call of Duty: Warzone,Call of Duty: Black Ops 4,10.8,2150,3774,1.2,19573,422000,7400000,46,5.7,Thursday,Sunday
739,esportsu,English,personality,Special Events,VALORANT,8.9,130,560,1.5,4263,6500,27700,12,2.5,Tuesday,Sunday
773,esb_dota2,Spanish,personality,Dota 2,Variety,8.9,1180,2030,1.0,4466,78200,135000,4,2.3,Sunday,Monday
776,aydan,English,personality,Call of Duty: Warzone,Fortnite,7.3,1682,34197,1.8,13949,3100000,63000000,119,5.4,Tuesday,Sunday
780,tpabomah,Russian,personality,Dota 2,Total War: WARHAMMER III,5.5,3590,17325,1.0,8289,563000,27100000,23,5.2,Sunday,Friday
786,creamtherabbit,English,personality,ROBLOX,Counter-Strike,2.2,2131,270,1.4,1148,1010000,13000,32,4.0,Tuesday,Thursday
790,ennaouii,Chinese,personality,Dead by Daylight,VALORANT,6.6,2020,7940,1.7,4155,128000,505000,60,4.2,Saturday,Monday
799,abed_dota,English,personality,Dota 2,,4.0,2834,7685,1.0,800,54000,147000,1,0.1,Saturday,Tuesday
802,justcooman,Russian,personality,Dota 2,Counter-Strike,5.0,2370,15281,1.0,7831,385000,24800000,8,4.4,Wednesday,Monday
803,bbreadman,English,personality,Call of Duty: Warzone,Rust,6.3,1410,1621,1.1,8506,185000,2140000,57,4.3,Tuesday,Saturday
806,machete_vilches,Spanish,personality,Slots,Fortnite,3.8,950,3290,1.3,4614,128000,441000,70,3.6,Friday,Wednesday
818,simply,English,personality,Super Mario 64,Minecraft,4.4,1740,4778,1.6,7224,309000,8590000,133,4.2,Wednesday,Tuesday
820,amakipururu,Japanese,personality,Street Fighter 6,VALORANT,4.1,2260,3340,1.4,2812,165000,244000,105,5.1,Friday,Sunday
821,tarzaned,English,personality,League of Legends,Pokemon UNITE,5.3,4110,16747,1.1,8834,603000,24400000,51,4.2,Wednesday,Friday
832,torontotokyo17,Russian,personality,Dota 2,ELDEN RING,5.3,1915,14706,1.2,6050,239000,1830000,18,0.8,Sunday,Monday
835,9pasha,Russian,personality,Dota 2,Heroes of Might and Magic III: The Restoration of Erathia,5.9,2970,3753,1.2,9340,64000,987000,4,0.6,Friday,Sunday
840,moonryde,Italian,personality,Call of Duty: Warzone,PUBG: BATTLEGROUNDS,6.6,1930,6672,1.5,15154,666000,23000000,161,5.9,Wednesday,Wednesday
848,krapycoco,Chinese,personality,VALORANT,PUBG: BATTLEGROUNDS,7.4,820,2265,1.5,721,81000,2230000,43,2.8,Wednesday,Saturday
851,solary,French,esports,League of Legends,Teamfight Tactics,20.0,4680,129534,3.1,41951,697000,191000000,382,6.1,Sunday,Sunday
859,fer,Portuguese,personality,Counter-Strike,Dota 2,4.2,1285,3384,1.3,2353,704000,18300000,21,1.4,Thursday,Sunday
862,dashy,English,personality,VALORANT,Call of Duty: Black Ops 4,5.3,3810,8769,1.2,5904,394000,9080000,34,3.0,Friday,Friday
868,sypherpk,English,personality,Fortnite,For Honor,6.6,2586,41334,1.3,1584,6940000,112000000,68,6.1,Tuesday,Sunday
870,ricoy,Spanish,personality,Rust,Escape from Tarkov,4.9,3740,14417,1.3,7242,476000,18400000,66,3.8,Friday,Thursday
881,rtgame,English,personality,Team Fortress 2,Minecraft,3.9,8900,13884,1.2,5286,1170000,18300000,483,3.5,Sunday,Saturday
888,artcsgo,Portuguese,personality,Counter-Strike,Among Us,4.2,9470,7344,1.2,8090,156000,1210000,18,0.6,Thursday,Wednesday
894,qlnek,Polish,personality,Fortnite,Fall Guys,4.4,1490,589,1.1,5273,202000,7980000,36,4.3,Saturday,Sunday
898,gernaderjake,English,personality,Destiny 2,Fortnite,8.5,2450,1636,1.3,17639,562000,33000000,179,5.3,Sunday,Saturday
905,versuta,Russian,personality,Dota 2,PUBG: BATTLEGROUNDS,5.8,540,1238,1.3,12087,491000,121000000,26,5.3,Thursday,Thursday
916,xhocii,English,personality,Counter-Strike,Slots,3.1,2450,2350,1.1,1518,115000,110000,7,2.1,Wednesday,Sunday
918,tamatthi,Japanese,personality,Escape from Tarkov,Grand Theft Auto V,6.8,320,9230,1.1,7798,40300,1160000,30,5.3,Sunday,Saturday
930,wakzlol,French,personality,League of Legends,Dark and Darker,6.0,2150,3920,1.4,2769,119000,281000,48,1.2,Monday,Monday
936,chiringuitovivo,Spanish,personality,Sports,Fortnite,2.4,950,0,1.0,5230,20300,0,13,2.8,Wednesday,Wednesday
937,vetheo,French,personality,League of Legends,Watch Dogs 2,3.8,1320,2608,1.0,2331,97800,1940000,3,2.1,Monday,Monday
945,happyhappygal,English,personality,Fortnite,Apex Legends,5.3,2360,0,1.0,2821,141000,65,6,5.8,Saturday,Tuesday
962,kokujintv,Japanese,personality,Street Fighter 6,VALORANT,6.2,1810,7930,1.4,3664,123000,539000,62,2.7,Friday,Sunday
964,lollolacustre,Italian,personality,Minecraft,Brawl Stars,4.8,7140,0,1.5,2436,566000,30,46,2.8,Wednesday,Monday
965,thiefs,English,personality,Fortnite,Call of Duty: WWII,7.1,2290,279,1.1,16818,575000,6990000,55,6.1,Thursday,Saturday
966,alexclick,French,personality,Grand Theft Auto V,ARK: Survival Evolved,5.2,880,9077,1.1,7035,177000,15900000,169,3.4,Wednesday,Saturday
973,slipix,French,personality,League of Legends,Legends of Runeterra,3.5,1310,2227,1.0,5863,191000,3240000,24,4.3,Monday,Saturday
974,gearbaby1010,Chinese,personality,Teamfight Tactics,League of Legends,6.9,2730,14986,1.4,7345,290000,15700000,50,3.0,Wednesday,Monday
979,sips_,English,personality,Minecraft,RimWorld,6.5,1780,9415,1.3,1126,546000,21800000,342,4.4,Wednesday,Monday
986,nickeh30,English,personality,Fortnite,Call of Duty: Warzone,6.0,3633,54313,1.2,8654,5350000,79900000,85,4.0,Tuesday,Sunday
987,eslcsc,English,esports,Counter-Strike,Variety,5.6,1026,3238,1.0,1435,297000,9380000,2,0.8,Wednesday,Sunday
988,smii7y,English,personality,Call of Duty: Warzone,PUBG: BATTLEGROUNDS,2.7,3045,6844,1.1,1135,1310000,3020000,114,1.1,Sunday,Thursday
